Algoritmo,Tamanho,Cenario,Tempo (ms),Comparacoes,Trocas
Bubble Sort,1000,Crescente,0,999,0
Insertion Sort,1000,Crescente,0,999,0
Selection Sort,1000,Crescente,6,499500,0

Bubble Sort,10000,Crescente,0,9999,0
Insertion Sort,10000,Crescente,0,9999,0
Selection Sort,10000,Crescente,115,49995000,0

Bubble Sort,100000,Crescente,0,99999,0
Insertion Sort,100000,Crescente,0,99999,0
Selection Sort,100000,Crescente,9901,4999950000,0

